"SiteID","inclProb","PSU_habitat","habitat","PSU_ID","Shape_Area_m","max_n","n","geometry","lon","lat"
1205957,0.473179136,"123 - alpine","alpine",123,10464803.4686229,38,20,c(-120.20872298618, 49.0717431827064),-120.20872298618,49.0717431827064
1337285,0.098579456,"123 - alpine","alpine",123,10464803.4686229,38,20,c(-120.160787348098, 49.0333374726434),-120.160787348098,49.0333374726434
1371845,0.196269056,"123 - alpine","alpine",123,10464803.4686229,38,20,c(-120.214597286509, 49.0739102126064),-120.214597286509,49.0739102126064
1461701,0.234300416,"123 - alpine","alpine",123,10464803.4686229,38,20,c(-120.160307387841, 49.0471705368905),-120.160307387841,49.0471705368905
1579205,0.073806848,"123 - alpine","alpine",123,10464803.4686229,38,20,c(-120.213175486267, 49.0620192730954),-120.213175486267,49.0620192730954
1619165,0.138933248,"123 - alpine","alpine",123,10464803.4686229,38,20,c(-120.20225566275, 49.0318249819635),-120.20225566275,49.0318249819635
65477,0.4044032,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.203955021715, 49.0831740169996),-120.203955021715,49.0831740169996
86213,0.71553536,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.224194345919, 49.0686799032029),-120.224194345919,49.0686799032029
252101,0.20085248,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.224514400863, 49.0743051230457),-120.224514400863,49.0743051230457
341957,0.47696384,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.169211991081, 49.046391713771),-120.169211991081,49.046391713771
770501,0.211837952,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.157254745578, 49.0564673080305),-120.157254745578,49.0564673080305
1050437,0.507106304,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.125579846286, 49.0646263212653),-120.125579846286,49.0646263212653
1081541,0.337531904,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.211981634009, 49.0570292194742),-120.211981634009,49.0570292194742
1237061,0.311284736,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.159045956873, 49.0642408320604),-120.159045956873,49.0642408320604
1330373,0.762438656,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.192846539264, 49.0410019197877),-120.192846539264,49.0410019197877
1425629,0.814294016,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.215124976582, 49.0533787594996),-120.215124976582,49.0533787594996
1610309,0.864232448,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.133378439901, 49.0657349632912),-120.133378439901,49.0657349632912
1834949,0.988771328,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.165107171866, 49.0378461151001),-120.165107171866,49.0378461151001
1867997,0.563852288,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.183501634064, 49.0170558259383),-120.183501634064,49.0170558259383
1897157,0.457561088,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.165653665557, 49.0339192006881),-120.165653665557,49.0339192006881
1923293,0.742642688,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.229736695307, 49.0674180919255),-120.229736695307,49.0674180919255
1952453,0.6359681024,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.203524668484, 49.070780461484),-120.203524668484,49.070780461484
2021573,0.7852673024,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.193807297551, 49.0385306511143),-120.193807297551,49.0385306511143
2263493,0.7217383424,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.160898675063, 49.0569986668508),-120.160898675063,49.0569986668508
2304965,0.1555687424,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.202429776189, 49.0869214502404),-120.202429776189,49.0869214502404
2543429,0.8250681344,"123 - subalpine","subalpine",123,7465018.30997644,27,20,c(-120.133329993309, 49.0684483177733),-120.133329993309,49.0684483177733
24005,0.0486656,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.166859910623, 49.0559535249778),-120.166859910623,49.0559535249778
96581,0.27316736,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.148142931352, 49.1150160030793),-120.148142931352,49.1150160030793
148421,0.37632512,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.17920920724, 49.0648774337607),-120.17920920724,49.0648774337607
155333,0.67277312,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.177756045217, 49.0332914384354),-120.177756045217,49.0332914384354
210629,0.81285632,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.181905881927, 49.0435472072633),-120.181905881927,49.0435472072633
272837,0.51204608,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.180718543227, 49.0793713486377),-120.180718543227,49.0793713486377
345413,0.69814784,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.145788356378, 49.1053374889668),-120.145788356378,49.1053374889668
366149,0.97278464,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.161044057968, 49.0891415510856),-120.161044057968,49.0891415510856
375005,0.05394944,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.19231551944, 49.0244747070573),-120.19231551944,49.0244747070573
397253,0.611136512,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.181627089754, 49.0549799258971),-120.181627089754,49.0549799258971
438725,0.005030912,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.187210692281, 49.0938814701478),-120.187210692281,49.0938814701478
459461,0.318067712,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.195768383295, 49.0669635420281),-120.195768383295,49.0669635420281
521669,0.938857472,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.174588092297, 49.0710904608306),-120.174588092297,49.0710904608306
532037,0.503862272,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.167413490305, 49.092582477206),-120.167413490305,49.092582477206
578693,0.748639232,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.132066803915, 49.1168298875766),-120.132066803915,49.1168298875766
625349,0.993416192,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.213472272579, 49.0829621888561),-120.213472272579,49.0829621888561
646085,0.114516992,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.194665721482, 49.0792263505591),-120.194665721482,49.0792263505591
708293,0.742986752,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.199330508768, 49.0571638004317),-120.199330508768,49.0571638004317
718661,0.300311552,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.158855654401, 49.1056807226007),-120.158855654401,49.1056807226007
739397,0.573412352,"123 - uppermontane","uppermontane",123,25165537.6672851,90,20,c(-120.168240136355, 49.0784661610217),-120.168240136355,49.0784661610217
